Month,Active_Messages_Growth
0,0.00
1,1548707.38
2,1867205.48
3,1939711.22
4,1963068.29
5,1976645.70
6,1988317.53
7,1999658.88
8,2010985.07
9,2022359.43
10,2033794.94
11,2045294.47
12,2056858.89
13,2068488.68
14,2080184.22
15,2091945.88
16,2103774.05
17,2115669.09
18,2127631.39
19,2139661.33
20,2151759.29
21,2163925.65
22,2176160.80
23,2188465.13
24,2200839.03
25,2213282.89
26,2225797.11
27,2238382.09
28,2251038.23
29,2263765.93
30,2276565.59
31,2289437.62
32,2302382.44
33,2315400.44
34,2328492.05
35,2341657.68
36,2354897.76
37,2368212.69
38,2381602.91
39,2395068.84
40,2408610.91
41,2422229.54
42,2435925.18
43,2449698.26
44,2463549.21
45,2477478.47
46,2491486.49
47,2505573.72
48,2519740.60
49,2533987.58
50,2548315.11
51,2562723.66
52,2577213.67
53,2591785.61
54,2606439.94
55,2621177.13
56,2635997.65
57,2650901.96
58,2665890.55
59,2680963.88
60,2696122.44
61,2711366.71
62,2726697.17
63,2742114.31
64,2757618.63
65,2773210.60
66,2788890.74
67,2804659.53
68,2820517.49
69,2836465.10
70,2852502.89
71,2868631.35
72,2884851.01
73,2901162.38
74,2917565.97
75,2934062.32
76,2950651.93
77,2967335.35
78,2984113.09
79,3000985.70
80,3017953.71
81,3035017.66
82,3052178.09
83,3069435.55
84,3086790.58
85,3104243.75
86,3121795.59
87,3139446.68
88,3157197.57
89,3175048.82
90,3193001.01
91,3211054.70
92,3229210.47
93,3247468.90
94,3265830.56
95,3284296.04
96,3302865.92
97,3321540.81
98,3340321.28
99,3359207.95
100,3378201.40
101,3397302.24
102,3416511.08
103,3435828.53
104,3455255.20
105,3474791.72
106,3494438.70
107,3514196.76
108,3534066.54
109,3554048.67
110,3574143.77
111,3594352.50
112,3614675.49
113,3635113.39
114,3655666.85
115,3676336.53
116,3697123.07
117,3718027.14
118,3739049.40
119,3760190.53
120,3781451.20
