Month,Active_Sessions_Growth
0,0.00
1,140791.58
2,169745.95
3,176337.38
4,178460.75
5,179695.06
6,180756.14
7,181787.17
8,182816.82
9,183850.86
10,184890.45
11,185935.86
12,186987.17
13,188044.43
14,189107.66
15,190176.90
16,191252.19
17,192333.55
18,193421.04
19,194514.67
20,195614.48
21,196720.51
22,197832.80
23,198951.38
24,200076.28
25,201207.54
26,202345.19
27,203489.28
28,204639.84
29,205796.90
30,206960.51
31,208130.69
32,209307.49
33,210490.95
34,211681.10
35,212877.97
36,214081.61
37,215292.06
38,216509.36
39,217733.53
40,218964.63
41,220202.69
42,221447.74
43,222699.84
44,223959.02
45,225225.32
46,226498.77
47,227779.43
48,229067.33
49,230362.51
50,231665.01
51,232974.88
52,234292.15
53,235616.87
54,236949.09
55,238288.83
56,239636.15
57,240991.09
58,242353.69
59,243723.99
60,245102.04
61,246487.88
62,247881.56
63,249283.12
64,250692.60
65,252110.05
66,253535.52
67,254969.05
68,256410.68
69,257860.46
70,259318.44
71,260784.67
72,262259.18
73,263742.03
74,265233.27
75,266732.94
76,268241.08
77,269757.76
78,271283.01
79,272816.88
80,274359.43
81,275910.70
82,277470.74
83,279039.60
84,280617.33
85,282203.98
86,283799.60
87,285404.24
88,287017.96
89,288640.80
90,290272.82
91,291914.06
92,293564.59
93,295224.45
94,296893.69
95,298572.37
96,300260.54
97,301958.26
98,303665.57
99,305382.54
100,307109.22
101,308845.66
102,310591.92
103,312348.05
104,314114.11
105,315890.16
106,317676.25
107,319472.43
108,321278.78
109,323095.33
110,324922.16
111,326759.32
112,328606.86
113,330464.85
114,332333.35
115,334212.41
116,336102.10
117,338002.47
118,339913.58
119,341835.50
120,343768.29
